movie,genre,runtime,certificate,rating,stars,description,votes,director
A Walton Easter,Drama            ,120 min,,7,"['Richard Thomas, ', 'Ralph Waite, ', 'Michael Learned, ', 'Jon Walmsley', '']","In 1969, John-Boy is a TV news anchorman in New York and he is in the throes of writing a new book. He and a very pregnant Janet are making plans to return to Walton's Mountain for the ...                See full summary »
",306,['Bill Corcoran']
The Uncle,Drama            ,87 min,,7.1,"['Rupert Davies, ', 'Brenda Bruce, ', 'Robert Duncan, ', 'Ann Lynn', '']",Seven-year-old Gus struggles with the responsibility placed upon him when nephew Tom arrives to spend summer holidays with his family.,101,['Desmond Davis']
DOC - Nelle tue mani,Drama            ,55 min,,7.8,"['Luca Argentero, ', 'Matilde Gioli, ', 'Sara Lazzaro, ', 'Alberto Boubakar Malanchino', '']","Dr Andrea Fanti, one of the most brilliant there ever were, forgets who he is.","1,464",
Working Girls,Drama            ,93 min,,6.7,"['Louise Smith, ', 'Ellen McElduff, ', 'Amanda Goodwin, ', 'Deborah Banks', '']","A day in the life of several prostitutes in an upscale Manhattan whore house. The film is a stark portrayal of the women prostitutes, the male customers and the motivations of both. Watch ...                See full summary »
",$1.78M,['Lizzie Borden']
Twee vorstinnen en een vorst,Drama            ,102 min,,5.8,"['Eric Clerckx, ', 'Linda van Dyck, ', 'Kitty Courbois, ', 'Jan Decleir', '']","At the deathbed of his used-to-be militant mother an older man looks back at his childhood, when he was in love with his sensual aunt Coleta.",241,['Otto Jongerius']
Delta of Venus,Drama            ,102 min,A,4.7,"['Audie England, ', 'Costas Mandylor, ', 'Eric da Silva, ', 'Raven Snow', '']","A struggling American writer (England) and a fellow American expatriate (Mandylor) begin a sordid affair among the chaos and discord of 1940 Paris, France on the brink of World War II.",$0.06M,['Zalman King']
Opening Night,Drama            ,144 min,,7.9,"['Gena Rowlands, ', 'John Cassavetes, ', 'Ben Gazzara, ', 'Joan Blondell', '']",A renowned actress teeters on the edge of a breakdown as she counts down the days toward a big Broadway opening.,"11,503",['John Cassavetes']
The Pawnbroker,Drama            ,116 min,A,7.7,"['Rod Steiger, ', 'Geraldine Fitzgerald, ', 'Brock Peters, ', 'Jaime Sánchez', '']","A Jewish pawnbroker, victim of Nazi persecution, loses all faith in his fellow man until he realizes too late the tragedy of his actions.","10,260",['Sidney Lumet']
Tetro,Drama            ,127 min,R,6.8,"['Vincent Gallo, ', 'Alden Ehrenreich, ', 'Maribel Verdú, ', 'Silvia Pérez', '']","Bennie travels to Buenos Aires to find his long-missing older brother, a once-promising writer who is now a remnant of his former self. Bennie's discovery of his brother's near-finished play might hold the answer to understanding their shared past and renewing their bond.",$0.52M,['Francis Ford Coppola']
Bez wstydu,Drama            ,81 min,,5.2,"['Mateusz Kosciukiewicz, ', 'Agnieszka Grochowska, ', 'Anna Próchniak, ', 'Maciej Marczewski', '']",A young man entertains an unhealthy desire for his older and unstable half-sister.,"1,492",['Filip Marczewski']
Lubo,Drama            ,175 min,,,"['Franz Rogowski, ', 'Valentina Bellè, ', 'Joel Basman, ', 'Noémi Besedes', '']","Lubo loses his family at the hands of an organization based on the principles of eugenics. His revenge will have unexpected implications, reconsidering the blurred lines between good and evil.",,['Giorgio Diritti']
Topâzu,Drama            ,135 min,NC-17,5.9,"['Miho Nikaido, ', 'Yayoi Kusama, ', 'Sayoko Amano, ', 'Tenmei Kano', '']","A submissive hooker goes about her trade, suffering abuse at the hands of Japanese salarymen and Yakuza types. She's unhappy about her work, and is apparently trying to find some sort of ...                See full summary »
",$0.28M,['Ryû Murakami']
Arctic Air,Drama            ,60 min,,6.8,"['Adam Beach, ', 'Pascale Hutton, ', 'Kevin McNulty, ', 'Stephen Lobo', '']",Series set in Yellowknife portrays renegade bush pilots at work and play in northern Canada.,"1,182",
Goat,Drama            ,96 min,R,5.7,"['Ben Schnetzer, ', 'Nick Jonas, ', 'Gus Halper, ', 'Danny Flaherty', '']","Reeling from a terrifying assault, a 19 year-old enrolls into college with his brother and pledges the same fraternity. What happens there in the name of ""brotherhood"" tests him and his loyalty to his brother in brutal ways.",$0.02M,['Andrew Neel']
Land Girls,Drama            ,225 min,,7,"['Becci Gemmell, ', 'Susan Cookson, ', 'Mark Benton, ', 'Mykola Allen', '']","Follow the lives, loves and highs and lows of four members of the Women's Land Army who are working at the Hoxley Estate during World War II.","3,478",
Nothing Is Private,Drama            ,124 min,R,6.9,"['Summer Bishil, ', 'Aaron Eckhart, ', 'Peter Macdissi, ', 'Chris Messina', '']","A young Arab-American girl struggles with her sexual obsession, a bigoted Army reservist and her strict father during the Gulf War.",$0.37M,['Alan Ball']
The Last Descent,Drama            ,105 min,PG,5.6,"['Chadwick Hopson, ', 'Alexis Johnson, ', 'Landon Henneman, ', 'Jyllian Petrie', '']","In 2009, John Jones explored an unmapped section of the famous Nutty Putty Cave. After becoming stuck in a hole 18 inches wide and 150 feet underground, rescue crews worked frantically and ...                See full summary »
","1,019",['Isaac Halasima']
The Road Dance,Drama            ,116 min,,7.1,"['Hermione Corfield, ', 'Will Fletcher, ', 'Mark Gatiss, ', 'David Brooks', '']","A young girl lives in the Outer Hebrides in a small village in the years just before WWI. Isolated and hard by the shore , her life takes a dramatic change when a terrible tragedy befalls her.",759,['Richie Adams']
Der Bergdoktor,Drama            ,45 min,,6.3,"['Hans Sigl, ', 'Heiko Ruprecht, ', 'Monika Baumgartner, ', 'Ronja Forcher', '']","A medic lives with his small, strange family in the mountains, and in every episode he comes across a situation with not only his patients but also his family and friends.",623,
Vozvrashchenie,Drama            ,110 min,,7.9,"['Vladimir Garin, ', 'Ivan Dobronravov, ', 'Konstantin Lavronenko, ', 'Nataliya Vdovina', '']","In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.",$0.50M,['Andrey Zvyagintsev']
Castaways,Drama            ,91 min,,4.3,"['Paige McGarvin, ', 'Sofia Masson, ', 'Joel Berti, ', 'Andre Heimos', '']","In a post apocalyptic world, two women find themselves shipwrecked and alone on a deserted island. As the girls fight to survive, their shared experience bonds them together in ways they could never have imagined.",215,['Ilyssa Goodman']
L'année des méduses,Drama            ,110 min,,5.6,"['Valérie Kaprisky, ', 'Bernard Giraudeau, ', 'Caroline Cellier, ', 'Jacques Perrin', '']","Chris, a sexy teenager who appears mostly bare-breasted on the French Riviera, has a crush on Romain, her mother's lover. In reaction to her inability to attract his attention, she experiments with other risque affairs.","1,343",['Christopher Frank']
Mary & George,Drama            ,,,,"['Nicola Walker, ', 'Tony Curran, ', 'Niamh Algar, ', 'Trine Dyrholm', '']","Follow the story of the Countess of Buckingham who molded her son to seduce King James I and become her all-powerful lover, through intrigue, becoming richer, more titled and influential than England has ever seen.",,
The Gray House,Drama            ,,,,"['Daisy Head, ', 'Paul Anderson, ', 'Robert Knepper, ', 'Ben Vereen', '']",It centers on the three women who General Ulysses S. Grant credited as helping the North win the Civil War.,,
Nil by Mouth,Drama            ,128 min,R,7.3,"['Ray Winstone, ', 'Kathy Burke, ', 'Charlie Creed-Miles, ', 'Laila Morse', '']","A rough, short-tempered patriarch of a working-class family sees his life and the relationships around him slowly unravel.","9,879",['Gary Oldman']
Secrets,Drama            ,103 min,,5.3,"['Janelle Tee, ', 'Benz Sangalang, ', 'Felix Roco, ', 'Denise Esteban', '']","A dark tale of sexual experimentation and perversion when a young couple escape to a beach house in order to sort out their relationship, but find themselves entangled in a trap set by a seductive stranger.",263,['Jose Javier Reyes']
Las edades de Lulú,Drama            ,95 min,,5.5,"['Francesca Neri, ', 'Óscar Ladoire, ', 'María Barranco, ', 'Fernando Guillén Cuervo', '']",The story of a young woman's descent into the kinky and dangerous sexual underground in Madrid.,"4,101",['Bigas Luna']
Sarah T. - Portrait of a Teenage Alcoholic,Drama            ,96 min,,6.4,"['Linda Blair, ', 'Larry Hagman, ', 'Verna Bloom, ', 'William Daniels', '']",This movie is a teaching tool about a teenage girl struggling with alcoholism to cope with her feelings of insecurity and usual problems of adolescence.,624,['Richard Donner']
Zorras,Drama            ,,,4.4,"['Andrea Ros, ', 'Mirela Balic, ', 'Tai Fati, ', 'Nico Romero', '']",Follows three women who unintentionally launch a feminine revolution when they create a secret group to fulfill their sexual fantasies.,18,
"Bright Lights, Big City",Drama            ,107 min,A,5.7,"['Michael J. Fox, ', 'Kiefer Sutherland, ', 'Phoebe Cates, ', 'Swoosie Kurtz', '']",A disillusioned young writer living in New York City turns to drugs and drinking to block out the memories of his dead mother and estranged wife.,$16.12M,['James Bridges']
Sans toit ni loi,Drama            ,105 min,,7.7,"['Sandrine Bonnaire, ', 'Macha Méril, ', 'Stéphane Freiss, ', 'Setti Ramdane', '']","A young woman's body is found frozen in a ditch. Through flashbacks and interviews, we see the events that led to her inevitable death.","12,636",['Agnès Varda']
The Best Place to Be,Drama            ,195 min,,7.5,"['Donna Reed, ', 'Efrem Zimbalist Jr., ', 'Mildred Dunnock, ', 'Betty White', '']","A widow's life is thrown into turmoil by her hippie daughter, her rebellious teenage son, and an affair she is having with a much younger man. Then, as if all that wasn't quite enough, a ...                See full summary »
",62,['David Miller']
Maternal,Drama            ,46 min,,7.7,"['Parminder Nagra, ', 'Lara Pulver, ', 'Lisa McGrillis, ', 'Julie Graham', '']",Drama about three doctors returning to post-pandemic frontline medicine after maternity leave.,654,
Lagaslas,Drama            ,94 min,,6.2,"['VR Relosa, ', 'Maebelle Medina, ', 'Julio Diaz, ', 'Rubi Rubi', '']","A young man named Edmar falls madly in love with Karisma, a barrio lass. Will he still love her if he finds out Karisma's deepest darkest secret?",422,['Christopher Novabos']
Sur les chemins noirs,Drama            ,95 min,,6.9,"['Jean Dujardin, ', 'Joséphine Japy, ', 'Izïa Higelin, ', 'Anny Duperey', '']","Pierre is a famous writer and explorer. But one drunken night, a terrible fall leaves him in a coma. When he wakes up, barely standing up and against everyone's advice, he decides to explore France on foot, along the smallest paths.",435,['Denis Imbert']
The Killing of Two Lovers,Drama            ,85 min,R,6.9,"['Clayne Crawford, ', 'Sepideh Moafi, ', 'Chris Coy, ', 'Avery Pizzuto', '']",David desperately tries to keep his family of six together during a separation from his wife. They both agree to see other people but David struggles to grapple with his wife's new relationship.,"4,847",['Robert Machoian']
NCR Days,Drama            ,40 min,Not Rated,9.1,"['Nikhil Vijay, ', 'Raghvika Kohli, ', 'Ambrish Verma, ', 'Heer Kaur', '']",NCR Days depicts the life of a small town guy studying in a city that is completely contrasting to his perspectives in life.,"38,663",
The Messenger,Drama            ,50 min,,6.5,"['William McKenna, ', 'Alexandra Jensen, ', 'Chris Alosio, ', 'Kartanya Maynard', '']","Ed's life is one peaceful routine until playing cards inscribed with cryptic tasks start to arrive in the mail. Choosing to care, Ed makes his way through town helping and hurting.",228,
La Salamandre,Drama            ,116 min,,7.2,"['Marina Foïs, ', 'Maicon Rodrigues, ', 'Anna Mouglalis, ', 'Bruno Garcia', '']",A troubled woman meets a mysterious younger man who triggers in her an obsession to both destroy and reinvent herself.,51,['Alex Carvalho']
Rien à foutre,Drama            ,115 min,,6.4,"['Adèle Exarchopoulos, ', 'Alexandre Perrier, ', 'Mara Taquin, ', 'Arthur Egloff', '']",A young flight attendant loses her job at a low-cost airline.,"3,640",
The Inside Man,Drama            ,,,8.1,"['Benjamin Adnams, ', 'Abe Jarman, ', 'Brandon Potter, ', 'Kathryn Georghiou', '']","Meet Mark, a man with secrets. This lonely hacker must blag his way into Khromacom's security team and destroy the company. His new colleagues present a heartbreaking dilemma: satisfy his sinister controller or betray his loveable friends?",183,
Disco Boy,Drama            ,92 min,,6.6,"['Franz Rogowski, ', 'Morr Ndiaye, ', 'Laetitia Ky, ', 'Leon Lucev', '']","After a painful journey through Europe, Aleksei arrives in Paris to join the Foreign Legion. In the Niger Delta, Jomo struggles against the oil companies threatening his village and the ...                See full summary »
",531,['Giacomo Abbruzzese']
"Marcus Welby, M.D.",Drama            ,60 min,,7,"['Robert Young, ', 'James Brolin, ', 'Elena Verdugo, ', 'Pamela Hensley', '']","The show is about doctors Marcus Welby, a general practitioner and Steven Kiley, Welby's young assistant. The two try to treat people as individuals in an age of specialized medicine and ...                See full summary »
","1,703",
Ahlat Agaci,Drama            ,188 min,,8,"['Dogu Demirkol, ', 'Murat Cemcir, ', 'Bennu Yildirimlar, ', 'Hazar Ergüçlü', '']","An unpublished writer returns to his hometown after graduating, where he seeks sponsors to publish his book while dealing with his father's deteriorating indulgence into gambling.",$0.03M,['Nuri Bilge Ceylan']
Oliver Twist,Drama            ,116 min,,7.8,"['Robert Newton, ', 'Alec Guinness, ', 'Kay Walsh, ', 'Francis L. Sullivan', '']","In Charles Dickens' classic tale, an orphan wends his way from cruel apprenticeship to den of thieves in search of a true home.","13,165",['David Lean']
